Date,Area Name,Time of Day,Traffic Volume
2022-02-01,Electronic City,Afternoon (12pm-4pm),5383
2022-02-01,Electronic City,Evening Peak (5pm-9pm),8612
2022-02-02,Electronic City,Morning Peak (8am-11am),5822
2022-02-02,Electronic City,Afternoon (12pm-4pm),4158
2022-02-02,Electronic City,Evening Peak (5pm-9pm),6654
2022-02-03,Electronic City,Morning Peak (8am-11am),4647
2022-02-03,Electronic City,Afternoon (12pm-4pm),3319
2022-02-03,Electronic City,Evening Peak (5pm-9pm),5311
2022-02-09,Electronic City,Morning Peak (8am-11am),6696
2022-02-09,Electronic City,Afternoon (12pm-4pm),4783
2022-02-09,Electronic City,Evening Peak (5pm-9pm),7653
2022-02-10,Electronic City,Morning Peak (8am-11am),5457
2022-02-10,Electronic City,Afternoon (12pm-4pm),3898
2022-02-10,Electronic City,Evening Peak (5pm-9pm),6237
2022-02-11,Electronic City,Morning Peak (8am-11am),5503
2022-02-11,Electronic City,Afternoon (12pm-4pm),3930
2022-02-11,Electronic City,Evening Peak (5pm-9pm),6289
2022-02-12,Electronic City,Morning Peak (8am-11am),7519
2022-02-12,Electronic City,Afternoon (12pm-4pm),5370
2022-02-12,Electronic City,Evening Peak (5pm-9pm),8593
2022-02-13,Electronic City,Morning Peak (8am-11am),10431
2022-02-13,Electronic City,Afternoon (12pm-4pm),7451
2022-02-13,Electronic City,Evening Peak (5pm-9pm),11922
2022-02-14,Electronic City,Morning Peak (8am-11am),6361
2022-02-14,Electronic City,Afternoon (12pm-4pm),4543
2022-02-14,Electronic City,Evening Peak (5pm-9pm),7270
2022-02-17,Electronic City,Morning Peak (8am-11am),6128
2022-02-17,Electronic City,Afternoon (12pm-4pm),4377
2022-02-17,Electronic City,Evening Peak (5pm-9pm),7004
2022-02-17,Electronic City,Morning Peak (8am-11am),6835
2022-02-17,Electronic City,Afternoon (12pm-4pm),4882
2022-02-17,Electronic City,Evening Peak (5pm-9pm),7811
2022-02-18,Electronic City,Morning Peak (8am-11am),1888
2022-02-18,Electronic City,Afternoon (12pm-4pm),1348
2022-02-18,Electronic City,Evening Peak (5pm-9pm),2158
2022-02-19,Electronic City,Morning Peak (8am-11am),3856
2022-02-19,Electronic City,Afternoon (12pm-4pm),2755
2022-02-19,Electronic City,Evening Peak (5pm-9pm),4408
2022-02-20,Electronic City,Morning Peak (8am-11am),5744
2022-02-20,Electronic City,Afternoon (12pm-4pm),4103
2022-02-20,Electronic City,Evening Peak (5pm-9pm),6565
2022-02-21,Electronic City,Morning Peak (8am-11am),6687
2022-02-21,Electronic City,Afternoon (12pm-4pm),4776
2022-02-21,Electronic City,Evening Peak (5pm-9pm),7642
2022-02-24,Electronic City,Morning Peak (8am-11am),4606
2022-02-24,Electronic City,Afternoon (12pm-4pm),3290
2022-02-24,Electronic City,Evening Peak (5pm-9pm),5264
2022-02-25,Electronic City,Morning Peak (8am-11am),9011
2022-02-25,Electronic City,Afternoon (12pm-4pm),6436
2022-02-25,Electronic City,Evening Peak (5pm-9pm),10298
2022-02-28,Electronic City,Morning Peak (8am-11am),2050
2022-02-28,Electronic City,Afternoon (12pm-4pm),1464
2022-02-28,Electronic City,Evening Peak (5pm-9pm),2343
2022-03-01,Electronic City,Morning Peak (8am-11am),4432
2022-03-01,Electronic City,Afternoon (12pm-4pm),3166
2022-03-01,Electronic City,Evening Peak (5pm-9pm),5066
2022-03-03,Electronic City,Morning Peak (8am-11am),8656
2022-03-03,Electronic City,Afternoon (12pm-4pm),6183
2022-03-03,Electronic City,Evening Peak (5pm-9pm),9893
2022-03-04,Electronic City,Morning Peak (8am-11am),6108
2022-03-04,Electronic City,Afternoon (12pm-4pm),4363
2022-03-04,Electronic City,Evening Peak (5pm-9pm),6980
2022-03-07,Electronic City,Morning Peak (8am-11am),8513
2022-03-07,Electronic City,Afternoon (12pm-4pm),6081
2022-03-07,Electronic City,Evening Peak (5pm-9pm),9730
2022-03-09,Electronic City,Morning Peak (8am-11am),5938
2022-03-09,Electronic City,Afternoon (12pm-4pm),4242
2022-03-09,Electronic City,Evening Peak (5pm-9pm),6787
2022-03-10,Electronic City,Morning Peak (8am-11am),3989
2022-03-10,Electronic City,Afternoon (12pm-4pm),2850
2022-03-10,Electronic City,Evening Peak (5pm-9pm),4560
2022-03-11,Electronic City,Morning Peak (8am-11am),4418
2022-03-11,Electronic City,Afternoon (12pm-4pm),3156
2022-03-11,Electronic City,Evening Peak (5pm-9pm),5050
2022-03-13,Electronic City,Morning Peak (8am-11am),9401
2022-03-13,Electronic City,Afternoon (12pm-4pm),6715
2022-03-13,Electronic City,Evening Peak (5pm-9pm),10744
2022-03-14,Electronic City,Morning Peak (8am-11am),5023
2022-03-14,Electronic City,Afternoon (12pm-4pm),3588
2022-03-14,Electronic City,Evening Peak (5pm-9pm),5740
2022-03-16,Electronic City,Morning Peak (8am-11am),6894
2022-03-16,Electronic City,Afternoon (12pm-4pm),4924
2022-03-16,Electronic City,Evening Peak (5pm-9pm),7879
2022-03-17,Electronic City,Morning Peak (8am-11am),8317
2022-03-17,Electronic City,Afternoon (12pm-4pm),5941
2022-03-17,Electronic City,Evening Peak (5pm-9pm),9505
2022-03-17,Electronic City,Morning Peak (8am-11am),6362
2022-03-17,Electronic City,Afternoon (12pm-4pm),4544
2022-03-17,Electronic City,Evening Peak (5pm-9pm),7271
2022-03-18,Electronic City,Morning Peak (8am-11am),1852
2022-03-18,Electronic City,Afternoon (12pm-4pm),1323
2022-03-18,Electronic City,Evening Peak (5pm-9pm),2116
2022-03-18,Electronic City,Morning Peak (8am-11am),8240
2022-03-18,Electronic City,Afternoon (12pm-4pm),5886
2022-03-18,Electronic City,Evening Peak (5pm-9pm),9418
2022-03-19,Electronic City,Morning Peak (8am-11am),5361
2022-03-19,Electronic City,Afternoon (12pm-4pm),3829
2022-03-19,Electronic City,Evening Peak (5pm-9pm),6127
2022-03-23,Electronic City,Morning Peak (8am-11am),7118
2022-03-23,Electronic City,Afternoon (12pm-4pm),5084
2022-03-23,Electronic City,Evening Peak (5pm-9pm),8135
2022-03-23,Electronic City,Morning Peak (8am-11am),6072
2022-03-23,Electronic City,Afternoon (12pm-4pm),4337
2022-03-23,Electronic City,Evening Peak (5pm-9pm),6939
2022-03-26,Electronic City,Morning Peak (8am-11am),5497
2022-03-26,Electronic City,Afternoon (12pm-4pm),3927
2022-03-26,Electronic City,Evening Peak (5pm-9pm),6283
2022-03-27,Electronic City,Morning Peak (8am-11am),1769
2022-03-27,Electronic City,Afternoon (12pm-4pm),1263
2022-03-27,Electronic City,Evening Peak (5pm-9pm),2022
2022-03-29,Electronic City,Morning Peak (8am-11am),5140
2022-03-29,Electronic City,Afternoon (12pm-4pm),3671
2022-03-29,Electronic City,Evening Peak (5pm-9pm),5874
2022-03-31,Electronic City,Morning Peak (8am-11am),5367
2022-03-31,Electronic City,Afternoon (12pm-4pm),3834
2022-03-31,Electronic City,Evening Peak (5pm-9pm),6134
2022-04-01,Electronic City,Morning Peak (8am-11am),4073
2022-04-01,Electronic City,Afternoon (12pm-4pm),2909
2022-04-01,Electronic City,Evening Peak (5pm-9pm),4655
2022-04-04,Electronic City,Morning Peak (8am-11am),6833
2022-04-04,Electronic City,Afternoon (12pm-4pm),4881
2022-04-04,Electronic City,Evening Peak (5pm-9pm),7809
2022-04-07,Electronic City,Morning Peak (8am-11am),6827
2022-04-07,Electronic City,Afternoon (12pm-4pm),4876
2022-04-07,Electronic City,Evening Peak (5pm-9pm),7802
2022-04-08,Electronic City,Morning Peak (8am-11am),7856
2022-04-08,Electronic City,Afternoon (12pm-4pm),5611
2022-04-08,Electronic City,Evening Peak (5pm-9pm),8978
2022-04-10,Electronic City,Morning Peak (8am-11am),6416
2022-04-10,Electronic City,Afternoon (12pm-4pm),4583
2022-04-10,Electronic City,Evening Peak (5pm-9pm),7332
2022-04-11,Electronic City,Morning Peak (8am-11am),2158
2022-04-11,Electronic City,Afternoon (12pm-4pm),1541
2022-04-11,Electronic City,Evening Peak (5pm-9pm),2466
2022-04-16,Electronic City,Morning Peak (8am-11am),10155
2022-04-16,Electronic City,Afternoon (12pm-4pm),7253
2022-04-16,Electronic City,Evening Peak (5pm-9pm),11606
2022-04-18,Electronic City,Morning Peak (8am-11am),4163
2022-04-18,Electronic City,Afternoon (12pm-4pm),2973
2022-04-18,Electronic City,Evening Peak (5pm-9pm),4758
2022-04-19,Electronic City,Morning Peak (8am-11am),1902
2022-04-19,Electronic City,Afternoon (12pm-4pm),1358
2022-04-19,Electronic City,Evening Peak (5pm-9pm),2174
2022-04-22,Electronic City,Morning Peak (8am-11am),7254
2022-04-22,Electronic City,Afternoon (12pm-4pm),5182
2022-04-22,Electronic City,Evening Peak (5pm-9pm),8291
2022-04-22,Electronic City,Morning Peak (8am-11am),3516
2022-04-22,Electronic City,Afternoon (12pm-4pm),2511
2022-04-22,Electronic City,Evening Peak (5pm-9pm),4018
2022-04-23,Electronic City,Morning Peak (8am-11am),4779
2022-04-23,Electronic City,Afternoon (12pm-4pm),3413
2022-04-23,Electronic City,Evening Peak (5pm-9pm),5462
2022-04-24,Electronic City,Morning Peak (8am-11am),5533
2022-04-24,Electronic City,Afternoon (12pm-4pm),3952
2022-04-24,Electronic City,Evening Peak (5pm-9pm),6324
2022-04-26,Electronic City,Morning Peak (8am-11am),5033
2022-04-26,Electronic City,Afternoon (12pm-4pm),3595
2022-04-26,Electronic City,Evening Peak (5pm-9pm),5752
2022-04-27,Electronic City,Morning Peak (8am-11am),3458
2022-04-27,Electronic City,Afternoon (12pm-4pm),2470
2022-04-27,Electronic City,Evening Peak (5pm-9pm),3952
2022-04-27,Electronic City,Morning Peak (8am-11am),9677
2022-04-27,Electronic City,Afternoon (12pm-4pm),6912
2022-04-27,Electronic City,Evening Peak (5pm-9pm),11059
2022-04-29,Electronic City,Morning Peak (8am-11am),4719
2022-04-29,Electronic City,Afternoon (12pm-4pm),3371
2022-04-29,Electronic City,Evening Peak (5pm-9pm),5394
2022-04-30,Electronic City,Morning Peak (8am-11am),7219
2022-04-30,Electronic City,Afternoon (12pm-4pm),5156
2022-04-30,Electronic City,Evening Peak (5pm-9pm),8250
2022-04-30,Electronic City,Morning Peak (8am-11am),4520
2022-04-30,Electronic City,Afternoon (12pm-4pm),3228
2022-04-30,Electronic City,Evening Peak (5pm-9pm),5166
2022-05-01,Electronic City,Morning Peak (8am-11am),2224
2022-05-01,Electronic City,Afternoon (12pm-4pm),1589
2022-05-01,Electronic City,Evening Peak (5pm-9pm),2542
2022-05-04,Electronic City,Morning Peak (8am-11am),5728
2022-05-04,Electronic City,Afternoon (12pm-4pm),4091
2022-05-04,Electronic City,Evening Peak (5pm-9pm),6546
2022-05-06,Electronic City,Morning Peak (8am-11am),5123
2022-05-06,Electronic City,Afternoon (12pm-4pm),3659
2022-05-06,Electronic City,Evening Peak (5pm-9pm),5855
2022-05-06,Electronic City,Morning Peak (8am-11am),8093
2022-05-06,Electronic City,Afternoon (12pm-4pm),5781
2022-05-06,Electronic City,Evening Peak (5pm-9pm),9249
2022-05-07,Electronic City,Morning Peak (8am-11am),5575
2022-05-07,Electronic City,Afternoon (12pm-4pm),3982
2022-05-07,Electronic City,Evening Peak (5pm-9pm),6372
2022-05-08,Electronic City,Morning Peak (8am-11am),6900
2022-05-08,Electronic City,Afternoon (12pm-4pm),4928
2022-05-08,Electronic City,Evening Peak (5pm-9pm),7886
2022-05-10,Electronic City,Morning Peak (8am-11am),6784
2022-05-10,Electronic City,Afternoon (12pm-4pm),4846
2022-05-10,Electronic City,Evening Peak (5pm-9pm),7753
2022-05-12,Electronic City,Morning Peak (8am-11am),6413
2022-05-12,Electronic City,Afternoon (12pm-4pm),4581
2022-05-12,Electronic City,Evening Peak (5pm-9pm),7330
2022-05-13,Electronic City,Morning Peak (8am-11am),5451
2022-05-13,Electronic City,Afternoon (12pm-4pm),3894
2022-05-13,Electronic City,Evening Peak (5pm-9pm),6230
2022-05-14,Electronic City,Morning Peak (8am-11am),3275
2022-05-14,Electronic City,Afternoon (12pm-4pm),2339
2022-05-14,Electronic City,Evening Peak (5pm-9pm),3743
2022-05-15,Electronic City,Morning Peak (8am-11am),9655
2022-05-15,Electronic City,Afternoon (12pm-4pm),6896
2022-05-15,Electronic City,Evening Peak (5pm-9pm),11034
2022-05-18,Electronic City,Morning Peak (8am-11am),6655
2022-05-18,Electronic City,Afternoon (12pm-4pm),4753
2022-05-18,Electronic City,Evening Peak (5pm-9pm),7606
2022-05-19,Electronic City,Morning Peak (8am-11am),7361
2022-05-19,Electronic City,Afternoon (12pm-4pm),5258
2022-05-19,Electronic City,Evening Peak (5pm-9pm),8412
2022-05-21,Electronic City,Morning Peak (8am-11am),3831
2022-05-21,Electronic City,Afternoon (12pm-4pm),2736
2022-05-21,Electronic City,Evening Peak (5pm-9pm),4378
2022-05-23,Electronic City,Morning Peak (8am-11am),2791
2022-05-23,Electronic City,Afternoon (12pm-4pm),1994
2022-05-23,Electronic City,Evening Peak (5pm-9pm),3190
2022-05-24,Electronic City,Morning Peak (8am-11am),8624
2022-05-24,Electronic City,Afternoon (12pm-4pm),6160
2022-05-24,Electronic City,Evening Peak (5pm-9pm),9856
2022-05-29,Electronic City,Morning Peak (8am-11am),10775
2022-05-29,Electronic City,Afternoon (12pm-4pm),7697
2022-05-29,Electronic City,Evening Peak (5pm-9pm),12315
2022-05-30,Electronic City,Morning Peak (8am-11am),6273
2022-05-30,Electronic City,Afternoon (12pm-4pm),4481
2022-05-30,Electronic City,Evening Peak (5pm-9pm),7169
2022-05-31,Electronic City,Morning Peak (8am-11am),3710
2022-05-31,Electronic City,Afternoon (12pm-4pm),2650
2022-05-31,Electronic City,Evening Peak (5pm-9pm),4240
2022-06-01,Electronic City,Morning Peak (8am-11am),7510
2022-06-01,Electronic City,Afternoon (12pm-4pm),5364
2022-06-01,Electronic City,Evening Peak (5pm-9pm),8583
2022-06-01,Electronic City,Morning Peak (8am-11am),3162
2022-06-01,Electronic City,Afternoon (12pm-4pm),2258
2022-06-01,Electronic City,Evening Peak (5pm-9pm),3614
2022-06-03,Electronic City,Morning Peak (8am-11am),6056
2022-06-03,Electronic City,Afternoon (12pm-4pm),4326
2022-06-03,Electronic City,Evening Peak (5pm-9pm),6921
2022-06-04,Electronic City,Morning Peak (8am-11am),7940
2022-06-04,Electronic City,Afternoon (12pm-4pm),5671
2022-06-04,Electronic City,Evening Peak (5pm-9pm),9074
2022-06-06,Electronic City,Morning Peak (8am-11am),9395
2022-06-06,Electronic City,Afternoon (12pm-4pm),6711
2022-06-06,Electronic City,Evening Peak (5pm-9pm),10738
2022-06-07,Electronic City,Morning Peak (8am-11am),5439
2022-06-07,Electronic City,Afternoon (12pm-4pm),3885
2022-06-07,Electronic City,Evening Peak (5pm-9pm),6216
2022-06-07,Electronic City,Morning Peak (8am-11am),8057
2022-06-07,Electronic City,Afternoon (12pm-4pm),5755
2022-06-07,Electronic City,Evening Peak (5pm-9pm),9208
2022-06-10,Electronic City,Morning Peak (8am-11am),9934
2022-06-10,Electronic City,Afternoon (12pm-4pm),7095
2022-06-10,Electronic City,Evening Peak (5pm-9pm),11353
2022-06-11,Electronic City,Morning Peak (8am-11am),4770
2022-06-11,Electronic City,Afternoon (12pm-4pm),3407
2022-06-11,Electronic City,Evening Peak (5pm-9pm),5452
2022-06-11,Electronic City,Morning Peak (8am-11am),4797
2022-06-11,Electronic City,Afternoon (12pm-4pm),3427
2022-06-11,Electronic City,Evening Peak (5pm-9pm),5483
2022-06-12,Electronic City,Morning Peak (8am-11am),6269
2022-06-12,Electronic City,Afternoon (12pm-4pm),4478
2022-06-12,Electronic City,Evening Peak (5pm-9pm),7165
2022-06-13,Electronic City,Morning Peak (8am-11am),7235
2022-06-13,Electronic City,Afternoon (12pm-4pm),5168
2022-06-13,Electronic City,Evening Peak (5pm-9pm),8269
2022-06-14,Electronic City,Morning Peak (8am-11am),4373
2022-06-14,Electronic City,Afternoon (12pm-4pm),3124
2022-06-14,Electronic City,Evening Peak (5pm-9pm),4998
2022-06-15,Electronic City,Morning Peak (8am-11am),5283
2022-06-15,Electronic City,Afternoon (12pm-4pm),3774
2022-06-15,Electronic City,Evening Peak (5pm-9pm),6038
2022-06-18,Electronic City,Morning Peak (8am-11am),2070
2022-06-18,Electronic City,Afternoon (12pm-4pm),1479
2022-06-18,Electronic City,Evening Peak (5pm-9pm),2366
2022-06-20,Electronic City,Morning Peak (8am-11am),5887
2022-06-20,Electronic City,Afternoon (12pm-4pm),4205
2022-06-20,Electronic City,Evening Peak (5pm-9pm),6728
2022-06-22,Electronic City,Morning Peak (8am-11am),5615
2022-06-22,Electronic City,Afternoon (12pm-4pm),4011
2022-06-22,Electronic City,Evening Peak (5pm-9pm),6418
2022-06-23,Electronic City,Morning Peak (8am-11am),7735
2022-06-23,Electronic City,Afternoon (12pm-4pm),5525
2022-06-23,Electronic City,Evening Peak (5pm-9pm),8840
2022-06-30,Electronic City,Morning Peak (8am-11am),6154
2022-06-30,Electronic City,Afternoon (12pm-4pm),4395
2022-06-30,Electronic City,Evening Peak (5pm-9pm),7033
2022-06-30,Electronic City,Morning Peak (8am-11am),7229
2022-06-30,Electronic City,Afternoon (12pm-4pm),5163
2022-06-30,Electronic City,Evening Peak (5pm-9pm),8262
2022-07-01,Electronic City,Morning Peak (8am-11am),4973
2022-07-01,Electronic City,Afternoon (12pm-4pm),3552
2022-07-01,Electronic City,Evening Peak (5pm-9pm),5684
2022-07-05,Electronic City,Morning Peak (8am-11am),6312
2022-07-05,Electronic City,Afternoon (12pm-4pm),4509
2022-07-05,Electronic City,Evening Peak (5pm-9pm),7214
2022-07-07,Electronic City,Morning Peak (8am-11am),7458
2022-07-07,Electronic City,Afternoon (12pm-4pm),5327
2022-07-07,Electronic City,Evening Peak (5pm-9pm),8524
2022-07-08,Electronic City,Morning Peak (8am-11am),8101
2022-07-08,Electronic City,Afternoon (12pm-4pm),5787
2022-07-08,Electronic City,Evening Peak (5pm-9pm),9259
2022-07-12,Electronic City,Morning Peak (8am-11am),7035
2022-07-12,Electronic City,Afternoon (12pm-4pm),5025
2022-07-12,Electronic City,Evening Peak (5pm-9pm),8040
2022-07-13,Electronic City,Morning Peak (8am-11am),2567
2022-07-13,Electronic City,Afternoon (12pm-4pm),1834
2022-07-13,Electronic City,Evening Peak (5pm-9pm),2934
2022-07-14,Electronic City,Morning Peak (8am-11am),7852
2022-07-14,Electronic City,Afternoon (12pm-4pm),5609
2022-07-14,Electronic City,Evening Peak (5pm-9pm),8974
2022-07-15,Electronic City,Morning Peak (8am-11am),2061
2022-07-15,Electronic City,Afternoon (12pm-4pm),1472
2022-07-15,Electronic City,Evening Peak (5pm-9pm),2355
2022-07-18,Electronic City,Morning Peak (8am-11am),7489
2022-07-18,Electronic City,Afternoon (12pm-4pm),5350
2022-07-18,Electronic City,Evening Peak (5pm-9pm),8560
2022-07-19,Electronic City,Morning Peak (8am-11am),4087
2022-07-19,Electronic City,Afternoon (12pm-4pm),2920
2022-07-19,Electronic City,Evening Peak (5pm-9pm),4672
2022-07-26,Electronic City,Morning Peak (8am-11am),3086
2022-07-26,Electronic City,Afternoon (12pm-4pm),2204
2022-07-26,Electronic City,Evening Peak (5pm-9pm),3527
2022-07-28,Electronic City,Morning Peak (8am-11am),4142
2022-07-28,Electronic City,Afternoon (12pm-4pm),2959
2022-07-28,Electronic City,Evening Peak (5pm-9pm),4734
2022-07-29,Electronic City,Morning Peak (8am-11am),3908
2022-07-29,Electronic City,Afternoon (12pm-4pm),2791
2022-07-29,Electronic City,Evening Peak (5pm-9pm),4466
2022-07-29,Electronic City,Morning Peak (8am-11am),8548
2022-07-29,Electronic City,Afternoon (12pm-4pm),6106
2022-07-29,Electronic City,Evening Peak (5pm-9pm),9770
2022-07-31,Electronic City,Morning Peak (8am-11am),6756
2022-07-31,Electronic City,Afternoon (12pm-4pm),4826
2022-07-31,Electronic City,Evening Peak (5pm-9pm),7722
2022-08-02,Electronic City,Morning Peak (8am-11am),6427
2022-08-02,Electronic City,Afternoon (12pm-4pm),4591
2022-08-02,Electronic City,Evening Peak (5pm-9pm),7346
2022-08-07,Electronic City,Morning Peak (8am-11am),4915
2022-08-07,Electronic City,Afternoon (12pm-4pm),3511
2022-08-07,Electronic City,Evening Peak (5pm-9pm),5618
2022-08-10,Electronic City,Morning Peak (8am-11am),4970
2022-08-10,Electronic City,Afternoon (12pm-4pm),3550
2022-08-10,Electronic City,Evening Peak (5pm-9pm),5680
2022-08-11,Electronic City,Morning Peak (8am-11am),5940
2022-08-11,Electronic City,Afternoon (12pm-4pm),4243
2022-08-11,Electronic City,Evening Peak (5pm-9pm),6788
2022-08-12,Electronic City,Morning Peak (8am-11am),6624
2022-08-12,Electronic City,Afternoon (12pm-4pm),4731
2022-08-12,Electronic City,Evening Peak (5pm-9pm),7570
2022-08-19,Electronic City,Morning Peak (8am-11am),4515
2022-08-19,Electronic City,Afternoon (12pm-4pm),3225
2022-08-19,Electronic City,Evening Peak (5pm-9pm),5160
2022-08-19,Electronic City,Morning Peak (8am-11am),4419
2022-08-19,Electronic City,Afternoon (12pm-4pm),3156
2022-08-19,Electronic City,Evening Peak (5pm-9pm),5050
2022-08-20,Electronic City,Morning Peak (8am-11am),1987
2022-08-20,Electronic City,Afternoon (12pm-4pm),1419
2022-08-20,Electronic City,Evening Peak (5pm-9pm),2271
2022-08-22,Electronic City,Morning Peak (8am-11am),9078
2022-08-22,Electronic City,Afternoon (12pm-4pm),6484
2022-08-22,Electronic City,Evening Peak (5pm-9pm),10375
2022-08-26,Electronic City,Morning Peak (8am-11am),3963
2022-08-26,Electronic City,Afternoon (12pm-4pm),2830
2022-08-26,Electronic City,Evening Peak (5pm-9pm),4529
2022-08-28,Electronic City,Morning Peak (8am-11am),5291
2022-08-28,Electronic City,Afternoon (12pm-4pm),3779
2022-08-28,Electronic City,Evening Peak (5pm-9pm),6047
2022-08-30,Electronic City,Morning Peak (8am-11am),6833
2022-08-30,Electronic City,Afternoon (12pm-4pm),4880
2022-08-30,Electronic City,Evening Peak (5pm-9pm),7809
2022-09-03,Electronic City,Morning Peak (8am-11am),6104
2022-09-03,Electronic City,Afternoon (12pm-4pm),4360
2022-09-03,Electronic City,Evening Peak (5pm-9pm),6976
2022-09-03,Electronic City,Morning Peak (8am-11am),6430
2022-09-03,Electronic City,Afternoon (12pm-4pm),4593
2022-09-03,Electronic City,Evening Peak (5pm-9pm),7349
2022-09-04,Electronic City,Morning Peak (8am-11am),7365
2022-09-04,Electronic City,Afternoon (12pm-4pm),5261
2022-09-04,Electronic City,Evening Peak (5pm-9pm),8417
2022-09-07,Electronic City,Morning Peak (8am-11am),8654
2022-09-07,Electronic City,Afternoon (12pm-4pm),6182
2022-09-07,Electronic City,Evening Peak (5pm-9pm),9891
2022-09-10,Electronic City,Morning Peak (8am-11am),4594
2022-09-10,Electronic City,Afternoon (12pm-4pm),3281
2022-09-10,Electronic City,Evening Peak (5pm-9pm),5250
2022-09-12,Electronic City,Morning Peak (8am-11am),8802
2022-09-12,Electronic City,Afternoon (12pm-4pm),6287
2022-09-12,Electronic City,Evening Peak (5pm-9pm),10059
2022-09-15,Electronic City,Morning Peak (8am-11am),7402
2022-09-15,Electronic City,Afternoon (12pm-4pm),5287
2022-09-15,Electronic City,Evening Peak (5pm-9pm),8459
2022-09-15,Electronic City,Morning Peak (8am-11am),3729
2022-09-15,Electronic City,Afternoon (12pm-4pm),2663
2022-09-15,Electronic City,Evening Peak (5pm-9pm),4262
2022-09-18,Electronic City,Morning Peak (8am-11am),2479
2022-09-18,Electronic City,Afternoon (12pm-4pm),1770
2022-09-18,Electronic City,Evening Peak (5pm-9pm),2833
2022-09-19,Electronic City,Morning Peak (8am-11am),1587
2022-09-19,Electronic City,Afternoon (12pm-4pm),1134
2022-09-19,Electronic City,Evening Peak (5pm-9pm),1814
2022-09-20,Electronic City,Morning Peak (8am-11am),7117
2022-09-20,Electronic City,Afternoon (12pm-4pm),5084
2022-09-20,Electronic City,Evening Peak (5pm-9pm),8134
2022-09-23,Electronic City,Morning Peak (8am-11am),4107
2022-09-23,Electronic City,Afternoon (12pm-4pm),2933
2022-09-23,Electronic City,Evening Peak (5pm-9pm),4694
2022-09-24,Electronic City,Morning Peak (8am-11am),7079
2022-09-24,Electronic City,Afternoon (12pm-4pm),5057
2022-09-24,Electronic City,Evening Peak (5pm-9pm),8091
2022-09-26,Electronic City,Morning Peak (8am-11am),6715
2022-09-26,Electronic City,Afternoon (12pm-4pm),4796
2022-09-26,Electronic City,Evening Peak (5pm-9pm),7674
2022-09-27,Electronic City,Morning Peak (8am-11am),5784
2022-09-27,Electronic City,Afternoon (12pm-4pm),4131
2022-09-27,Electronic City,Evening Peak (5pm-9pm),6610
